BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Bronx,1994 / 12,2098.1,52.1,56.8,108.9,2207.0,0.04934299954689624
Manhattan,1995 / 01,3887.0,152.8,220.8,373.6,4260.6,0.08768718020936019
Manhattan,1995 / 01,3297.8,112.4,171.7,284.1,3581.9,0.07931544710907619
Staten Island,1995 / 01,4623.2,317.2,565.0,882.2,5505.4,0.16024267083227378
Brooklyn,1995 / 01,4509.1,375.5,522.2,897.7,5406.8,0.16603166383073167
Bronx,1995 / 01,2033.5,41.2,31.6,72.80000000000001,2106.3,0.03456297773346627
Brooklyn,1995 / 01,4809.8,254.5,217.8,472.3,5282.1,0.0894151947142235
Bronx,1995 / 01,2307.8,39.8,36.7,76.5,2384.3,0.03208488864656293
Bronx,1995 / 02,2963.9,203.2,271.2,474.4,3438.3,0.1379751621440828
Bronx,1995 / 02,4289.4,189.3,145.0,334.3,4623.7,0.07230140363777927
Brooklyn,1995 / 02,3918.6,216.2,187.4,403.6,4322.2,0.09337837212530657
Brooklyn,1995 / 02,2581.8,201.3,325.5,526.8,3108.6000000000004,0.16946535417872993
Queens,1995 / 02,4381.9,269.1,385.9,655.0,5036.9,0.13004030256705515
Manhattan,1995 / 02,2805.0,47.0,80.4,127.4,2932.4,0.043445641795116625
Brooklyn,1995 / 02,4249.6,322.2,515.4,837.5999999999999,5087.200000000001,0.1646485296430256
Brooklyn,1995 / 02,1884.0,66.5,41.6,108.1,1992.1,0.054264344159429746
Bronx,1995 / 03,3696.5,132.6,86.7,219.3,3915.8,0.0560038817099954
Manhattan,1995 / 03,6301.4,249.9,301.2,551.1,6852.5,0.08042320321050712
Manhattan,1995 / 03,5747.9,507.1,1191.6,1698.6999999999998,7446.599999999999,0.228117530147987
Bronx,1995 / 04,3590.4,171.6,187.8,359.4,3949.8,0.09099194895944097
Brooklyn,1995 / 04,4223.3,199.7,126.6,326.29999999999995,4549.6,0.07172059082117108
Brooklyn,1995 / 04,2912.5,213.8,357.1,570.9000000000001,3483.4,0.16389160016076249
Manhattan,1995 / 04,5762.0,225.1,274.7,499.79999999999995,6261.8,0.07981730492829536
Bronx,1995 / 04,1790.5,40.9,33.0,73.9,1864.4,0.03963741686333405
Brooklyn,1995 / 04,4887.6,294.4,219.4,513.8,5401.400000000001,0.09512348650349907
Manhattan,1995 / 04,2940.6,62.9,74.9,137.8,3078.4,0.044763513513513514
