BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Bronx,1997 / 01,34459.8,2623.2,2275.1,4898.299999999999,39358.1,0.12025423943582618
Bronx,1997 / 02,30657.6,2180.3,1856.1,4036.4,34694.0,0.11219268386997293
Bronx,1997 / 03,33690.5,2374.0,1996.9,4370.9,38061.4,0.10982601373366217
Bronx,1997 / 04,35696.5,2569.0,2190.9,4759.900000000001,40456.4,0.11083871396897116
Bronx,1997 / 05,37258.3,2895.9,2505.1,5401.0,42659.3,0.11905577457670409
Bronx,1997 / 06,35551.8,2578.1,2077.7,4655.8,40207.6,0.10906364361257886
Bronx,1997 / 07,37053.2,2988.2,2208.0,5196.2,42249.4,0.11609655687437694
Bronx,1997 / 08,34858.3,2892.2,2097.0,4989.2,39847.5,0.11866752482760505
Bronx,1997 / 09,35132.4,2630.6,2150.2,4780.8,39913.2,0.11284815767533302
Bronx,1997 / 10,34901.9,2874.5,2504.1,5378.6,40280.5,0.12643435392559785
Bronx,1997 / 11,33093.9,2546.2,2398.9,4945.1,38039.0,0.12280902418924555
Bronx,1997 / 12,36601.3,2729.0,2577.5,5306.5,41907.8,0.12069436520615813
Bronx,1998 / 01,33581.0,3012.8,2628.8,5641.6,39222.6,0.13806930647439924
Bronx,1998 / 02,29929.8,2479.7,2109.3,4589.0,34518.8,0.1278530136608321
Bronx,1998 / 03,33446.3,2653.9,2241.7000000000003,4895.6,38341.9,0.1228158267989466
Bronx,1998 / 04,34600.9,3088.1,2750.0,5838.1,40439.0,0.1360988708644881
Bronx,1998 / 05,35914.0,3220.3999999999996,2765.0,5985.4,41899.4,0.13536401805429102
Bronx,1998 / 06,36913.7,3155.5,2568.8,5724.3,42638.0,0.12612455202601688
Bronx,1998 / 07,35651.5,3703.6,2497.6,6201.2,41852.7,0.14251637168401396
Bronx,1998 / 08,34460.5,3369.2000000000003,2273.6,5642.8,40103.3,0.1336941761232989
Bronx,1998 / 09,34718.3,3271.6,2501.7,5773.3,40491.6,0.13516149670345382
Bronx,1998 / 10,34195.6,3473.0,2825.5,6298.5,40494.1,0.14832976013351495
Bronx,1998 / 11,32227.4,2894.7,2466.6,5361.3,37588.7,0.13778900670772123
Bronx,1998 / 12,34442.9,3269.8,2981.1,6250.9,40693.8,0.14748750185988227
Bronx,1999 / 01,31876.3,3363.1,2837.2,6200.3,38076.6,0.15800834457389204
Bronx,1999 / 02,28569.7,2872.6,2267.5,5140.1,33709.8,0.14812060466697177
Bronx,1999 / 03,34015.6,3144.2,2558.3,5702.5,39718.1,0.1384392148498507
Bronx,1999 / 04,33002.4,3401.0,2979.3,6380.3,39382.7,0.15700587643051392
Bronx,1999 / 05,33494.0,3328.0,2738.8,6066.8,39560.8,0.14510925014013246
Bronx,1999 / 06,36533.3,3548.8,2694.2,6243.0,42776.3,0.13715451455709926
Bronx,1999 / 07,34580.6,3881.0,2609.9,6490.9,41071.5,0.1527177756923783
Bronx,1999 / 08,34982.5,3370.8,2442.2,5813.0,40795.5,0.13604751236412818
Bronx,1999 / 09,35953.0,3534.7999999999997,2856.8,6391.6,42344.6,0.14385848539709747
Bronx,1999 / 10,33933.2,3473.0,2852.6,6325.599999999999,40258.8,0.1506431709565716
Bronx,1999 / 11,35111.1,3029.2,2639.0,5668.2,40779.299999999996,0.13349592582379566
Bronx,1999 / 12,35367.4,3646.5,3439.5,7086.0,42453.4,0.16102994034628965
Bronx,2000 / 01,31650.5,3128.8,1951.8999999999999,5080.7,36731.2,0.13397569489150132
Bronx,2000 / 02,31079.3,3050.8,2190.4,5241.2,36320.5,0.14055835537316505
Bronx,2000 / 03,33763.5,3538.5,2882.9,6421.400000000001,40184.9,0.15488294024465327
Bronx,2000 / 04,32280.6,3562.4,3127.0,6689.4,38970.0,0.16399629061516044
Bronx,2000 / 05,37371.6,3877.0,3039.9,6916.900000000001,44288.5,0.15015326274237173
Bronx,2000 / 06,35813.9,4054.7,3109.9,7164.599999999999,42978.5,0.16032098950902554
Bronx,2000 / 07,35536.6,3861.7,2634.7,6496.4,42033.0,0.14879607152515606
Bronx,2000 / 08,36884.9,4052.7,2902.0,6954.7,43839.600000000006,0.15288455219671856
Bronx,2000 / 09,34891.5,3810.6,2974.4,6785.0,41676.5,0.15700865097025776
Bronx,2000 / 10,34241.7,3690.1,2850.8,6540.9,40782.6,0.1538407539170201
Bronx,2000 / 11,33781.1,3705.2000000000003,3177.7999999999997,6883.0,40664.1,0.16406406402062743
Bronx,2000 / 12,31752.8,3351.5,3066.7,6418.2,38171.0,0.16452883688847147
Bronx,2001 / 01,34503.700000000004,3776.3,3046.0,6822.3,41326.0,0.15985798658556435
Bronx,2001 / 02,29387.7,3187.4,2465.0,5652.400000000001,35040.1,0.15763893633906825
Bronx,2001 / 03,33394.3,3789.2,3058.0,6847.2,40241.5,0.16614122220623626
Bronx,2001 / 04,34258.8,3694.2,2701.9,6396.1,40654.9,0.15110629006443785
Bronx,2001 / 05,37469.1,4038.3,3085.7000000000003,7124.0,44593.1,0.15457324737655756
Bronx,2001 / 06,36847.6,4190.2,3052.4,7242.6,44090.2,0.1581324762183173
Bronx,2001 / 07,35790.6,3951.4,2537.1,6488.5,42279.1,0.14737196233639394
Bronx,2001 / 08,36278.8,4174.0,2707.8,6881.8,43160.6,0.1548601479430418
Bronx,2001 / 09,34199.5,3687.9,2731.3,6419.2,40618.7,0.1521891767407035
Bronx,2001 / 10,36463.9,3868.7,2880.1,6748.8,43212.7,0.15067803439194807
Bronx,2001 / 11,34748.9,3749.9,3028.7,6778.6,41527.5,0.15928011743494744
Bronx,2001 / 12,35614.6,3585.5,3023.3,6608.8,42223.4,0.15185702690056158
Bronx,2002 / 01,34932.0,3984.2000000000003,2960.5,6944.7,41876.7,0.1610605149276715
Bronx,2002 / 02,30321.3,3264.9,2394.9,5659.8,35981.1,0.15408939954545797
Bronx,2002 / 03,33166.0,3582.5,2753.5,6336.0,39502.0,0.15654101409310925
Bronx,2002 / 04,36765.7,3829.6,2776.1,6605.7,43371.4,0.14645646639950308
Bronx,2002 / 05,38377.0,3879.4,2980.4,6859.8,45236.8,0.14736504218927046
Bronx,2002 / 06,36692.9,3906.7999999999997,2938.6,6845.4,43538.3,0.15129283873831398
Bronx,2002 / 07,42505.5,0.0,2360.4,341.1,4045.2999999999997,0.08432007514893829
Bronx,2002 / 08,40636.7,0.0,2414.9,0.0,0.0,
Bronx,2002 / 09,40047.1,0.0,2302.4,0.0,0.0,
Bronx,2002 / 10,41239.6,0.0,2582.3,0.0,0.0,
Bronx,2002 / 11,41221.2,0.0,2438.9,0.0,0.0,
Bronx,2002 / 12,40426.4,0.0,2497.4,0.0,0.0,
Bronx,2003 / 01,37909.4,0.0,2438.1,0.0,0.0,
Bronx,2003 / 02,32565.5,0.0,1618.2,0.0,0.0,
Bronx,2003 / 03,39075.1,0.0,2423.7,0.0,0.0,
Bronx,2003 / 04,39682.4,0.0,2293.8,0.0,0.0,
Bronx,2003 / 05,42225.9,0.0,2402.8,0.0,0.0,
Bronx,2003 / 06,42341.3,0.0,2553.4,0.0,0.0,
Bronx,2003 / 07,42613.9,0.0,2201.4,0.0,0.0,
Bronx,2003 / 08,40916.8,0.0,2211.0,0.0,0.0,
Bronx,2003 / 09,41904.6,0.0,2494.8,0.0,0.0,
Bronx,2003 / 10,39855.4,0.0,2454.0,0.0,0.0,
Bronx,2003 / 11,38410.799999999996,0.0,2332.3,0.0,0.0,
Bronx,2003 / 12,40968.6,0.0,2517.3,0.0,0.0,
Bronx,2004 / 01,35321.3,0.0,2129.8,0.0,0.0,
Bronx,2004 / 02,34063.5,0.0,2262.3,0.0,0.0,
Bronx,2004 / 03,39466.7,0.0,2381.6,0.0,0.0,
